pericope_id,title,chapter,start_verse,end_verse,order
P103,A parábola dos trabalhadores da vinha,20,1,16,1
P104,O terceiro anúncio da paixão,20,17,19,2
P105,O pedido da mãe dos filhos de Zebedeu,20,20,28,3
P106,A cura de dois cegos de Jericó,20,29,34,4
P107,A entrada triunfal em Jerusalém,21,1,11,1
P108,A purificação do templo,21,12,17,2
P109,A figueira sem fruto,21,18,22,3
P110,A autoridade de Jesus questionada,21,23,27,4
P111,A parábola dos dois filhos,21,28,32,5
P112,A parábola dos lavradores maus,21,33,46,6
P113,A parábola das bodas,22,1,14,1
P114,A questão do tributo a César,22,15,22,2
P115,A questão da ressurreição,22,23,33,3
P116,O grande mandamento,22,34,40,4
P117,"O Cristo, filho de Davi",22,41,46,5
P118,Jesus denuncia os escribas e fariseus,23,1,12,1
P119,As sete acusações contra os fariseus,23,13,36,2
P120,Lamento sobre Jerusalém,23,37,39,3
P121,Jesus prediz a destruição do templo,24,1,2,1
P122,O princípio das dores,24,3,14,2
P123,A grande tribulação,24,15,28,3
P124,A vinda do Filho do Homem,24,29,31,4
P125,A parábola da figueira,24,32,35,5
P126,Vigiai,24,36,44,6
P127,O servo fiel e o infiel,24,45,51,7
P128,A parábola das dez virgens,25,1,13,1
P129,A parábola dos talentos,25,14,30,2
P130,O julgamento das nações,25,31,46,3
P131,O plano para matar Jesus,26,1,5,1
P132,A unção em Betânia,26,6,13,2
P133,A traição de Judas,26,14,16,3
P134,A preparação da Páscoa,26,17,19,4
P135,A ceia do Senhor,26,20,30,5
P136,O anúncio da negação de Pedro,26,31,35,6
P137,Jesus no Getsêmani,26,36,46,7
P138,A prisão de Jesus,26,47,56,8
P139,Jesus perante o Sinédrio,26,57,68,9
P140,A negação de Pedro,26,69,75,10
P141,Jesus perante Pilatos,27,1,2,1
P142,A morte de Judas,27,3,10,2
P143,Jesus questionado por Pilatos,27,11,14,3
P144,Jesus sentenciado à morte,27,15,26,4
P145,Os soldados zombam de Jesus,27,27,31,5
P146,A crucificação de Jesus,27,32,44,6
P147,A morte de Jesus,27,45,56,7
P148,O sepultamento de Jesus,27,57,61,8
P149,A guarda do sepulcro,27,62,66,9
P150,A ressurreição de Jesus,28,1,10,1
P151,A mentira dos guardas,28,11,15,2
P152,A grande comissão,28,16,20,3
